# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 15K of event 'cpu-clock'
# Event count (approx.): 15082082067
#
# Overhead  Symbol                                                 IPC   [IPC Coverage]
# ........  .....................................................  ....................
#
     0.01%  [.] __GI___libc_open                                   -      -            
     0.01%  [.] __GI___pthread_self                                -      -            
     0.01%  [.] __errno_location                                   -      -            
     0.01%  [.] __strcmp_avx2                                      -      -            
     0.01%  [.] __strncasecmp_l_avx                                -      -            
     0.01%  [.] _dl_lookup_symbol_x                                -      -            
     0.01%  [.] _get_keyword_or_name_type                          -      -            
     0.01%  [.] _imp_acquire_lock.lto_priv.0                       -      -            
     0.01%  [.] _imp_is_builtin_impl.lto_priv.0                    -      -            
     0.01%  [.] _tmp_111_rule.lto_priv.0                           -      -            
     0.01%  [.] asciilib_fastsearch.lto_priv.0                     -      -            
     0.01%  [.] assign_version_tag.lto_priv.0                      -      -            
     0.01%  [.] astfold_expr                                       -      -            
     0.01%  [.] atom_rule.lto_priv.0                               -      -            
     0.01%  [.] binary_iop                                         -      -            
     0.01%  [.] bitwise_or_rule.lto_priv.0                         -      -            
     0.01%  [.] builtin_len                                        -      -            
     0.01%  [.] builtin_max                                        -      -            
     0.01%  [.] cfree@GLIBC_2.2.5                                  -      -            
     0.01%  [.] classmethod_get.lto_priv.0                         -      -            
     0.01%  [.] cleanreturn                                        -      -            
     0.01%  [.] clone_combined_dict_keys                           -      -            
     0.01%  [.] conjunction_rule.lto_priv.0                        -      -            
     0.01%  [.] convert_to_double                                  -      -            
     0.01%  [.] deduce_unreachable                                 -      -            
     0.01%  [.] dict_new.lto_priv.0                                -      -            
     0.01%  [.] dictiter_dealloc.lto_priv.0                        -      -            
     0.01%  [.] dictiter_new                                       -      -            
     0.01%  [.] do_argstrip                                        -      -            
     0.01%  [.] finalize_modules_clear_weaklist                    -      -            
     0.01%  [.] fstring_find_expr                                  -      -            
     0.01%  [.] get_unicode_state.lto_priv.0                       -      -            
     0.01%  [.] handle_weakrefs                                    -      -            
     0.01%  [.] has_legacy_finalizer                               -      -            
     0.01%  [.] inherit_special                                    -      -            
     0.01%  [.] insert_to_emptydict.lto_priv.0                     -      -            
     0.01%  [.] list_append.lto_priv.0                             -      -            
     0.01%  [.] list_length.lto_priv.0                             -      -            
     0.01%  [.] list_subscript.lto_priv.0                          -      -            
     0.01%  [.] list_traverse.lto_priv.0                           -      -            
     0.01%  [.] long_bitwise                                       -      -            
     0.01%  [.] lookdict_unicode_nodummy.lto_priv.0                -      -            
     0.01%  [.] maybe_small_long.lto_priv.0                        -      -            
     0.01%  [.] member_get.lto_priv.0                              -      -            
     0.01%  [.] move_legacy_finalizers                             -      -            
     0.01%  [.] object_get_class.lto_priv.0                        -      -            
     0.01%  [.] param_rule                                         -      -            
     0.01%  [.] pthread_cond_signal@@GLIBC_2.3.2                   -      -            
     0.01%  [.] pthread_mutex_lock@@GLIBC_2.2.5                    -      -            
     0.01%  [.] r_object                                           -      -            
     0.01%  [.] range_vectorcall.lto_priv.0                        -      -            
     0.01%  [.] sem_destroy@GLIBC_2.2.5                            -      -            
     0.01%  [.] set_contains_entry                                 -      -            
     0.01%  [.] set_inheritable.lto_priv.0                         -      -            
     0.01%  [.] set_traverse.lto_priv.0                            -      -            
     0.01%  [.] slot_tp_richcompare                                -      -            
     0.01%  [.] sum_rule                                           -      -            
     0.01%  [.] term_raw                                           -      -            
     0.01%  [.] tuple_iter.lto_priv.0                              -      -            
