# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 621K of event 'cpu-clock'
# Event count (approx.): 621702702081
#
# Overhead  Symbol                                                 IPC   [IPC Coverage]
# ........  .....................................................  ....................
#
     0.00%  [.] _PyArena_Malloc                                    -      -            
     0.00%  [.] _PyArg_UnpackStack                                 -      -            
     0.00%  [.] _PyCode_InitAddressRange                           -      -            
     0.00%  [.] _PyDict_NewPresized                                -      -            
     0.00%  [.] _PyDict_Next                                       -      -            
     0.00%  [.] _PyErr_Fetch                                       -      -            
     0.00%  [.] _PyMem_DebugCalloc                                 -      -            
     0.00%  [.] _dl_relocate_object                                -      -            
     0.00%  [.] bitwise_or_rule.lto_priv.0                         -      -            
     0.00%  [.] convertsimple                                      -      -            
     0.00%  [.] dictview_len.lto_priv.0                            -      -            
     0.00%  [.] list_subscript.lto_priv.0                          -      -            
     0.00%  [.] merge_collapse                                     -      -            
     0.00%  [.] merge_init                                         -      -            
     0.00%  [.] range_vectorcall.lto_priv.0                        -      -            
     0.00%  [.] read                                               -      -            
     0.00%  [.] set_add.lto_priv.0                                 -      -            
     0.00%  [.] tb_create_raw                                      -      -            
     0.00%  [k] 0xffffffff82561280                                 -      -            
     0.00%  [k] 0xffffffff82654dab                                 -      -            
     0.00%  [k] 0xffffffff82682950                                 -      -            
     0.00%  [k] 0xffffffff8268fbd4                                 -      -            
     0.00%  [k] 0xffffffff826dd546                                 -      -            
     0.00%  [k] 0xffffffff826e0920                                 -      -            
     0.00%  [.] 0x0000000000022674                                 -      -            
     0.00%  [.] PyLineTable_NextAddressRange                       -      -            
     0.00%  [.] PyNumber_InPlaceTrueDivide                         -      -            
     0.00%  [.] PyNumber_Long                                      -      -            
     0.00%  [.] PyUnicode_FromFormatV                              -      -            
     0.00%  [.] _PyErr_SetKeyError                                 -      -            
     0.00%  [.] _PyList_Extend                                     -      -            
     0.00%  [.] _PyObject_VectorcallTstate                         -      -            
     0.00%  [.] _PyPegen_update_memo                               -      -            
